Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,22u,C45783
"C10, C4, C6, C8, C9",0805,5,0.1u,C49678
C12,0805,1,2.2n,C28260
"C3, C5",0805,2,0.22u,C5378
"D1, D10, D11, D2, D3, D4",D_SOD-323_HandSoldering,6,1N5819WS,C191023
D5,D_SOD-323_HandSoldering,1,1N4148,C2128
"J10, J11",Pin_Header_Straight_1x07_Pitch2.54mm,2,B2_HDR,
J12,Pin_Header_Straight_2x03_Pitch2.54mm,1,ISP,
J9,Pin_Header_Straight_2x05_Pitch2.54mm,1,POWER_HDR,
"JP1, JP2",Pin_Header_Straight_1x02_Pitch2.54mm,2,JMP,
"Q1, Q2, Q3",SOT-23,3,MMBT3904,C20526
"R10, R11, R12, R18, R2, R4, R5, R6, R8",0805,9,10k,C17414
"R13, R20, R26, R28",0805,4,100k,C149504
R14,0805,1,47k,C17713
R16,0805,1,1M,C17514
"R19, R23",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,2,R_led,C17557
R22,0805,1,100k*,C149504
"R24, R25",0805,2,100k .1%,C149504
R27,0805,1,10k*,C17414
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,ATtiny85,C89852
U2,TSSOP-14_4.4x5mm_P0.65mm,1,TL074,C96507
U3,SOT-89-3_Handsoldering,1,78L05,C71136
U4,SOT-89-3_Handsoldering,1,79L05,C122849
